date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
01/04/1970,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/05/1970,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1970,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1970,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1970,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1970,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1970,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1970,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1970,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1971,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1971,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01/03/1971,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1971,10,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01/05/1971,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1971,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1971,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1971,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1971,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1971,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1971,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1971,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1972,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1972,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1972,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1972,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1972,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1972,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1972,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1972,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1972,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1972,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1972,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1972,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1973,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1973,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1973,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1973,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1973,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1973,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1973,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/1973,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1973,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/10/1973,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1973,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/1973,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1974,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1974,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
01/03/1974,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/1974,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/1974,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/1974,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/1974,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/08/1974,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/1974,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/1974,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/1974,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/12/1974,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/1975,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/1975,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/1975,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
