Name,Symbol,Date,High
Bitcoin,BTC,30.01.2014  .,830.5
Bitcoin,BTC,31.01.2014  .,831.8699951
Bitcoin,BTC,01.02.2014  .,853.5200195
Bitcoin,BTC,02.02.2014  .,844.7199707
Bitcoin,BTC,03.02.2014  .,826.4799805
Bitcoin,BTC,04.02.2014  .,840.1699829
Bitcoin,BTC,05.02.2014  .,837.3200073
Bitcoin,BTC,06.02.2014  .,819.8099976
Bitcoin,BTC,07.02.2014  .,783.2000122
Bitcoin,BTC,08.02.2014  .,721.8200073
Bitcoin,BTC,09.02.2014  .,712.2700195
Bitcoin,BTC,10.02.2014  .,703.710022
Bitcoin,BTC,11.02.2014  .,712.460022
Bitcoin,BTC,12.02.2014  .,672.9000244
Bitcoin,BTC,13.02.2014  .,657.9899902
Bitcoin,BTC,14.02.2014  .,691.7199707
Bitcoin,BTC,15.02.2014  .,661.8400269
Bitcoin,BTC,16.02.2014  .,665.0999756
Bitcoin,BTC,17.02.2014  .,656.9500122
Bitcoin,BTC,18.02.2014  .,645.7600098
Bitcoin,BTC,19.02.2014  .,631.7700195
Bitcoin,BTC,20.02.2014  .,627.7299805
Bitcoin,BTC,21.02.2014  .,582.960022
Bitcoin,BTC,22.02.2014  .,614.4799805
Bitcoin,BTC,23.02.2014  .,639.9099731
Bitcoin,BTC,24.02.2014  .,607.6099854
Bitcoin,BTC,25.02.2014  .,541.3800049
Bitcoin,BTC,26.02.2014  .,603.7999878
Bitcoin,BTC,27.02.2014  .,594.0499878
Bitcoin,BTC,28.02.2014  .,584.1400146
Bitcoin,BTC,01.03.2014  .,573.3800049
Bitcoin,BTC,02.03.2014  .,570.4799805
Bitcoin,BTC,03.03.2014  .,702.9099731
Bitcoin,BTC,04.03.2014  .,696.2199707
Bitcoin,BTC,05.03.2014  .,674.2800293
Bitcoin,BTC,06.03.2014  .,669.7700195
Bitcoin,BTC,07.03.2014  .,665.3400269
Bitcoin,BTC,08.03.2014  .,635.1400146
Bitcoin,BTC,09.03.2014  .,643.9500122
Bitcoin,BTC,10.03.2014  .,644.7600098
Bitcoin,BTC,11.03.2014  .,638.4199829
Bitcoin,BTC,12.03.2014  .,648.0300293
Bitcoin,BTC,13.03.2014  .,644.2000122
Bitcoin,BTC,14.03.2014  .,639.5300293
Bitcoin,BTC,15.03.2014  .,639.1400146
Bitcoin,BTC,16.03.2014  .,637.5200195
Bitcoin,BTC,17.03.2014  .,632.6799927
Bitcoin,BTC,18.03.2014  .,622.3909912
Bitcoin,BTC,19.03.2014  .,622
Bitcoin,BTC,20.03.2014  .,609.7449951
Bitcoin,BTC,21.03.2014  .,604.59198
Bitcoin,BTC,22.03.2014  .,572.5479736
Bitcoin,BTC,23.03.2014  .,570.2379761
Bitcoin,BTC,24.03.2014  .,586.5620117
Bitcoin,BTC,25.03.2014  .,585.4379883
Bitcoin,BTC,26.03.2014  .,590.0280151
Bitcoin,BTC,27.03.2014  .,580.5599976
Bitcoin,BTC,28.03.2014  .,526.0230103
Bitcoin,BTC,29.03.2014  .,504.8590088
Bitcoin,BTC,30.03.2014  .,492.3720093
Bitcoin,BTC,31.03.2014  .,483.0220032
Bitcoin,BTC,01.04.2014  .,495.3429871
Bitcoin,BTC,02.04.2014  .,495.0450134
Bitcoin,BTC,03.04.2014  .,449.5650024
Bitcoin,BTC,04.04.2014  .,454.6520081
Bitcoin,BTC,05.04.2014  .,463.5710144
Bitcoin,BTC,06.04.2014  .,466.3190002
Bitcoin,BTC,07.04.2014  .,462.5639954
Bitcoin,BTC,08.04.2014  .,457.4240112
Bitcoin,BTC,09.04.2014  .,455.7279968
Bitcoin,BTC,10.04.2014  .,443.3659973
Bitcoin,BTC,11.04.2014  .,429.7669983
Bitcoin,BTC,12.04.2014  .,439.6059875
Bitcoin,BTC,13.04.2014  .,427.3980103
Bitcoin,BTC,14.04.2014  .,469.7510071
Bitcoin,BTC,15.04.2014  .,518.9959717
Bitcoin,BTC,16.04.2014  .,542.3779907
Bitcoin,BTC,17.04.2014  .,533.5170288
Bitcoin,BTC,18.04.2014  .,498.6010132
Bitcoin,BTC,19.04.2014  .,503.5549927
Bitcoin,BTC,20.04.2014  .,510.8710022
Bitcoin,BTC,21.04.2014  .,510.5679932
Bitcoin,BTC,22.04.2014  .,503.2219849
Bitcoin,BTC,23.04.2014  .,493.2489929
Bitcoin,BTC,24.04.2014  .,500.4649963
Bitcoin,BTC,25.04.2014  .,500.2990112
Bitcoin,BTC,26.04.2014  .,464.5429993
Bitcoin,BTC,27.04.2014  .,459.3299866
Bitcoin,BTC,28.04.2014  .,447.5339966
Bitcoin,BTC,29.04.2014  .,451.6359863
Bitcoin,BTC,30.04.2014  .,451.098999
Bitcoin,BTC,01.05.2014  .,460.6140137
Bitcoin,BTC,02.05.2014  .,457.9289856
Bitcoin,BTC,03.05.2014  .,449.4030151
Bitcoin,BTC,04.05.2014  .,439.7690125
Bitcoin,BTC,05.05.2014  .,440.973999
Bitcoin,BTC,06.05.2014  .,448.0379944
Bitcoin,BTC,07.05.2014  .,446.1279907
Bitcoin,BTC,08.05.2014  .,448.3989868
Bitcoin,BTC,09.05.2014  .,452.6919861
Bitcoin,BTC,10.05.2014  .,455.7709961
Bitcoin,BTC,11.05.2014  .,455.3389893
Bitcoin,BTC,12.05.2014  .,442.2600098
Bitcoin,BTC,13.05.2014  .,441.9760132
Bitcoin,BTC,14.05.2014  .,446.6589966
Bitcoin,BTC,15.05.2014  .,449.7990112
Bitcoin,BTC,16.05.2014  .,450.6610107
Bitcoin,BTC,17.05.2014  .,451.980011
Bitcoin,BTC,18.05.2014  .,449.7669983
